content,label
"@Shysterhater @carmic3 @lizziesharks @Scotia80 @ScotGovFM @ScotParl @NicolaSturgeon Always interesting to read the Irish Marxist take on geopolitics.

Ignorance, lies and violence: that's usually how it works, right?",0
im changing the password nobody knows backyardigans fucking bitch!,1
@SouthsideSteve @baileysouthside @ROCK1005Atlanta We went to the DR twice this year. Stayed at the Hard Rock the first time. Try a “Dirty Monkey”. You’ll thank me later!! #chocolateandbanana,0
"@IlhanMN @AOC In Canada, with legalization, the price doubled. Wonder why a socialist is pushing drugs?",0
"@sportsjunkie781 @aimeeallison @JoeBiden @AOC Exactly, that's why I like it.. Four more years guaranteed for Trump, thanks God!
@POTUS",0
"@s26rts_stuart @angeleyes_1980 @Pink @NicolaSturgeon So your one of those Fanny's that I get stuck behind in a queue while your trying to get your iPhone to work... Also I doubt how much your in London, I have been working here since 2013 and the refusing money problem has just got worse and worse...",1
@badcoverversion @JessicaValenti It just made me think about Korey Wise. Same age when he was accused. No effort made to protect his name/image. No consideration given to his family/future. Pushed a conviction through the courts with me real evidence. That has to be the difference.,0
@DavidDuguidMP @theSNP @NicolaSturgeon @theresa_may And your party's answer is to drown out the smaller boats in fav of 5 familys who fav the Union not the EU. https://t.co/Jp8nsoX7Ux,0
"@Janela_X @TheEuroGirl @theSNP @NicolaSturgeon @AngusRobertson They won't. They support it from the top down!

Nasty nationalists",0
hate a “you posted but can’t text me back” ass bitch,1
Wow I’ve been spiraling on this bitch for a week hahah,1
"@AndrewYang I disagree... anytime a leader starves his people,  kills them for having opinions, and teaches others should be killed IN GRADE SCHOOL  isn't looking for peace! Period!",0
@LindseyGrahamSC Look in the mirror Lindsey. Boring and butt ugly is what you’re seeing.,1
What I don’t understand is girls will post slutty ass pictures with slutty ass captions but be mad dudes in they dms tryna fuck... bitch your Instagram is dam near backpage... tf,1
"""Matt... I never thought you'd be killed... Forgive me..."" -Mello",0
Some knock kneed soccer dyke thinks she matters. No body gives a rats a$$ about her or any other soccer carpet muncher!,1
"@18_xxxbabes @NastyLady70 Shit, the Camel Toe of all Time😎🐲😘😝",1
"@bainjal @ashokgehlot51 @SachinPilot We all know politics is a dirty game,but when ppl like Sachin pilot whom many youngsters look upto are hand in glove,there is no hope for this country anymore.Sad day",0
i love the word “lesbian” and i live hearing lesbians use it so freely but hearing other people use it almost invokes like an instinctive discomfort? idk if other lesbians feel the same way but it’s so weird cause i also don’t like when non lesbians treat it like a dirty word,0
@Dazkys HAHAHAHAHAHAHA BITCH THE FUCK,1
@JessicaValenti Also I just assume the judge is also a rapist when this happens. 🤷‍♀️,1
I'm assuming the @brexitparty_uk won't mind if @NicolaSturgeon stands up and uses similar language to describe Scotland's relationship with England https://t.co/9ZuiRbifGG,0
@UnburntWitch Cool I guess at the next con you dont mind milkshake being poured on you,0
@RealCandaceO @AOC @SenSanders A lot of today’s American’s also lack any self accountability and will rush to line up behind anyone that will justify their thoughts of “my place in life isn’t because of my choices but the doings of (insert boogeyman here)”,0
@hello_bio @DrEmilyGrossman @encods2019 My top takeaway is called Peckish. Great curries and kebabs from there. Looking forward to seeing yours.,0
@CaptainSaltire @ferguson2811 @Janela_X @MhairiHunter @Ips_cali @BBCPhilipSim @theSNP @NicolaSturgeon @EnglishScot4YES See there your problem right there  A racist banner surrounded by Yes flags and are sent nationalists. If they can’t tolerate the racists why stand next to them. If Sturgeon and her band of idiots can’t condone the behaviour then it falls on decent people to do so. Do you?,0
@AgentP22 @UnwinStanley @NicolaSturgeon I wonder what the reaction would be if there were similar demonstrations in England. I am sure the word racism would be filling the airways and BBC news channels.,0
@Alison_McGovern @WirralCouncil @ThisGirlCanUK @EverydaySexism Unlikely they’d have done the same poster aimed at men. With women it’s ALL about looks!,1
@a_wood20 @AllisonMorris1 I'll settle for that 👍,0
"@antianti69 To be fair to @MhairiHunter, she called out 'Mr Malky' some time ago. It just seems that, even as @NicolaSturgeon's campaign manager, her message didn't quite get through... https://t.co/TQIbilS8IA",0
@AllisonMorris1 @Deborah_utv Be glad its not glitter 😱,0
@JKmurcury9 @NicolaSturgeon It doesn't.,0
"@GhostCloak4 @Emberrain319 @UnburntWitch I do have proof, in the form of literally everything he's written, and the fact that despite he himself even showing evidence that he wasn't welcome there, went anyway.",0
"@yourbadromantic @JessicaValenti I think they have always been making these types of decisions, we are just hearing about them more now.",0
One of biggest takeaways from #50YearsScotland is that everyone loves @kezdugdale - and she absolutely deserves that love. Wishing her well in her new role.,0
@a_wood20 @AllisonMorris1 Think you’ve just encapsulated it perfectly.,0
@JessicaValenti Be DESTROYED HER LIFE wtf,0
"@AlexRunswick (Although personally, I'd agree that they should possibly have to do that within a fixed time limit of taking office.)",0
@JessicaValenti Unacceptable I’m furious,0
